store_id;account_id;exp_date;time_id;category_id;currency_id;amount
0;4100;1997-01-01 00:00:00;367;ACTUAL;1;942.0
0;4100;1997-02-01 00:00:00;398;ACTUAL;1;942.0
0;4100;1997-03-01 00:00:00;426;ACTUAL;1;942.0
0;4100;1997-04-01 00:00:00;457;ACTUAL;1;942.0
0;4100;1997-05-01 00:00:00;487;ACTUAL;1;942.0
0;4100;1997-06-01 00:00:00;518;ACTUAL;1;942.0
0;4100;1997-07-01 00:00:00;548;ACTUAL;1;942.0
0;4100;1997-08-01 00:00:00;579;ACTUAL;1;942.0
0;4100;1997-09-01 00:00:00;610;ACTUAL;1;942.0
0;4100;1997-10-01 00:00:00;640;ACTUAL;1;942.0
0;4100;1997-11-01 00:00:00;671;ACTUAL;1;942.0
0;4100;1997-12-01 00:00:00;701;ACTUAL;1;942.0
0;4100;1998-01-01 00:00:00;732;ACTUAL;1;1798.0
0;4100;1998-02-01 00:00:00;763;ACTUAL;1;1798.0
0;4100;1998-03-01 00:00:00;791;ACTUAL;1;1798.0
0;4100;1998-04-01 00:00:00;822;ACTUAL;1;1798.0
0;4100;1998-05-01 00:00:00;852;ACTUAL;1;1798.0
0;4100;1998-06-01 00:00:00;883;ACTUAL;1;1798.0
0;4100;1998-07-01 00:00:00;913;ACTUAL;1;1798.0
0;4100;1998-08-01 00:00:00;944;ACTUAL;1;1798.0
0;4100;1998-09-01 00:00:00;975;ACTUAL;1;1798.0
0;4100;1998-10-01 00:00:00;1005;ACTUAL;1;1798.0
0;4100;1998-11-01 00:00:00;1036;ACTUAL;1;1798.0
0;4100;1998-12-01 00:00:00;1066;ACTUAL;1;1798.0
0;4200;1997-01-01 00:00:00;367;ACTUAL;1;1413.0
0;4200;1997-02-01 00:00:00;398;ACTUAL;1;1413.0
0;4200;1997-03-01 00:00:00;426;ACTUAL;1;1413.0
0;4200;1997-04-01 00:00:00;457;ACTUAL;1;1413.0
0;4200;1997-05-01 00:00:00;487;ACTUAL;1;1413.0
0;4200;1997-06-01 00:00:00;518;ACTUAL;1;1413.0
0;4200;1997-07-01 00:00:00;548;ACTUAL;1;1413.0
0;4200;1997-08-01 00:00:00;579;ACTUAL;1;1413.0
0;4200;1997-09-01 00:00:00;610;ACTUAL;1;1413.0
0;4200;1997-10-01 00:00:00;640;ACTUAL;1;1413.0
0;4200;1997-11-01 00:00:00;671;ACTUAL;1;1413.0
